orden,comentario,tipo
561,"no me gusta el tema de financiamiento , terminan sacando un ojo , prefiero al contado, pero cuando uno quiere pagar al contado ustedes cobran más.",malo
562,"es fabricada en China, muy mala calidad",malo
563,"me encanta, es mi joya",bueno
564,Bellisimooo,bueno
565,no la recomiendo,malo
566,no la cambio por nada,bueno
567,malo el servicio técnico,malo
568,hermoso,bueno
569,"por favor ,más detalle del crédito ",info
570,"cómoda, pero muy cara",malo
571,me intersa,bueno
572,deficiente el servicio técnico,malo
573,demasiado consumo de combustible,malo
574,me interesa mucho,bueno
575,quiro mayot info ,info
576,el precio es muy alto,malo
577,"es una muy buena elección, una SUV muy completa, tecnología, confort y gran espacio",bueno
578,respuestos muy caros y escasos,malo
579,pésimo servicio técnico,malo
580,lo mejor sin duda su diseño y gran espacio interior😍,bueno
581,Y ahora si tendra 5 estrellas de seguridad o seguira como el mas inseguro con cero?,malo
582,yo la vi y me encanto perfecta para salir de paseo 😍,bueno
583,creo que es insegura ,malo
584,Les quedó realmente espectacular. Además soy fiel a la marca y los autos están cada vez mejores.,bueno
585,lo peor es el serivicio técnico ,malo
586,"mucho espacio y comodidad 🙂
",bueno
587,pagué una fortuna en repuestos y mantención,malo
588,buen diseño y grandes espacios,bueno
589,definitvamente la quiero comprar,bueno
590,creo que necesita poner más información ,info
591,excelente presentación y comodidad,bueno
592,me gustaría comprarla,bueno
593,"Por favor, ¿puedo comprarla al contado ? ",info
594,Me gustaría conocer si puedo pagar todo al contado,info
595,muy mal sevicio de mantención,malo
596,piezas de respuestos escasas y demoran mucho en traerlas ,malo
597,No sube muy bien las pendientes,malo
598,es la mejor SUV que he tenido ,bueno
599,el crédito directo resulta muy caro,malo
600,la recomiendo a ojos cerrados,bueno
